,pearson_r
TIMM13,0.4466880783629107
GTF2B,0.44646480147002565
NOC4L,0.4446330338458889
PABPC4,0.44388798031850496
XRN1,0.4437838612078505
VMP1,0.4435183985647803
CHMP6,0.4434551162557998
POLA2,0.44337605251891565
MED9,0.4433301789355505
GTF2E2,0.4432548677760366
GFM1,0.44293599181075505
ATP2A2,0.4412073418867542
MED29,0.44110307127322923
CCT2,0.44098069364786785
MPHOSPH10,0.4409635746834212
DCUN1D5,0.440676437665921
EMG1,0.44041058519517173
RPAP3,0.440342548509692
TSG101,0.43956668739767357
CENPK,0.4395206445449964
MCM4,0.4392895573788173
MRPL15,0.43904891372382715
NCAPG2,0.43894967571293864
SEH1L,0.438766249179689
UTP6,0.4387410723416275
FCF1,0.43859078181946015
ECD,0.4384452176735017
MAT2A,0.43793416347954406
MRPS28,0.43766157075690404
SDAD1,0.43728544292261273
MRPL22,0.4366472782624764
RCL1,0.4354651405935242
EIF4E,0.4344032593586211
ECT2,0.43312670025371547
SNAPC1,0.433123500266548
ATP5MD,0.4329456424234569
DMAP1,0.431513376830653
MRPS12,0.4310912369956307
NFYC,0.43041784237411984
SNRPF,0.43017073284221435
MBIP,0.43015909455878504
GTF2A2,0.42988384237478783
NF1,0.4297183260904383
CTDP1,0.42892882893522044
LSG1,0.42834529351811446
TNRC6A,0.4277374619496733
PSMB5,0.4274960894013984
THAP1,0.42743387889994067
CSDE1,0.42609916845595036
SRRM1,0.4250801136705496
MRPL10,0.4247380325650018
CHD4,0.42436711159867796
RBM12,0.42410295871092796
TP53RK,0.4239997323123834
WDR33,0.4238404880261438
YEATS2,0.42362171322111536
NIFK,0.42348826150981456
UBR4,0.42209911632150154
EIF5A,0.42181236604022465
MRPL36,0.4214772988959644
HGS,0.42143225088648684
SLC2A8,0.4212993112647855
CENPC,0.4203367631771481
SAP18,0.42022596920041805
GPN2,0.4202071755919953
MNAT1,0.4192191955655734
SEC61G,0.41886565441676427
MRPS30,0.41882420550332944
FAM136A,0.4182084045571589
MRPL44,0.4181678854156628
RPS17,0.4180880387815053
RBM17,0.4179394846836191
EIF4A1,0.41776154869347615
RBM19,0.41727109540915164
CACTIN,0.41723992598252163
POLD3,0.41700997774675796
RAE1,0.41672629570978303
GNL3L,0.41652241239242327
CPSF3,0.4164454733669859
UTP15,0.4158593765693449
TAZ,0.4158158984792967
CDCA5,0.41570070834318956
MED22,0.4155235316407013
TRMT112,0.4152152939077642
CHEK1,0.41418448694962423
PTBP1,0.41359282473039816
ZCCHC9,0.41251062184537135
RELL2,0.41210227330678584
DERL2,0.4120240124598522
POLR3B,0.4113451666649377
PPIH,0.41128149465178065
EXOC7,0.4097583355898008
KRR1,0.40944298549307734
DHX36,0.40884901304613475
NAE1,0.4082401876918761
GFER,0.4081142801579326
MED12,0.4078114938980998
GPKOW,0.4071433516845939
MRPL24,0.4057254093456164
SMG9,0.4056674710002537
MRPS18A,0.4055697855296025
NEPRO,0.40527120478959655
CCNH,0.4036202868083693
C1orf131,0.40361617062618815
AAR2,0.4032885805669136
PLK1,0.4030749128305249
PPRC1,0.40306618736399413
UTP20,0.4029073833447329
YBX1,0.40261055830738557
TPP2,0.40086508905713053
COX5B,0.40022925709150237
CCDC174,0.3994857118326154
TRMT5,0.3988606738372167
THOC7,0.3986612829460582
SMG6,0.3981753191429835
MRPL32,0.39764611076735273
HMGCS1,0.3974115874621106
AATF,0.39700445656514083
CWC22,0.3960884255614526
NDC80,0.3959823556740566
ZNHIT2,0.3951162168501222
RIOK2,0.39496935938389005
CCDC86,0.3941598431948866
ATP6AP2,0.3931564197837183
MAK16,0.3928836723080711
RAB4B,0.392798122062526
SNRNP70,0.3923705531932356
SCFD1,0.3920787387075626
RPL26,0.3918826220972092
POLD1,0.39115904521637945
SLC39A7,0.3910528560023205
MRPL38,0.3909685805603216
RAC3,0.38997126205944566
GSPT1,0.38980301062065426
TYK2,0.38964346628861424
CCT7,0.3894379603535565
TAF13,0.38936728424251477
XPO5,0.38912664275035114
ADAM10,0.38895549625685777
ATP6V0B,0.38883430104904104
ZC3H18,0.3886703355787149
RPL7L1,0.3885595787942573
SRRT,0.3882403658186324
TXN,0.38796011150447096
ANKRD39,0.3877664772200261
MRPL9,0.3874355347018845
IMP4,0.38743322207184366
PAK1IP1,0.3869422985288993
ATP6AP1,0.3864261036599569
MRPL55,0.38621699538117193
TOMM20,0.3861952635673111
PELP1,0.38615164712479544
AHCTF1,0.38586960091366107
RRP1,0.38574729456895906
MED28,0.38469183921043715
TOPBP1,0.3845092144603555
DNM1L,0.3843645845301533
MRPL14,0.38337793102793516
GART,0.38322802187100513
PRPF4B,0.383223666994272
PRKCA,0.38317542270903693
MCM6,0.3826275897797058
BET1,0.3825160196118871
TAMM41,0.382477253133695
TP53I13,0.38199662044400684
SAP30BP,0.38193113436351334
OPA1,0.3818704170430524
ELOF1,0.3813617224351989
SMN2,0.38038611913157727
KANSL1,0.3798429379126695
CYREN,0.3788965548591729
SRSF1,0.3788362768242929
SNRPA1,0.3786739133713141
WDR3,0.37794779408278456
NDUFAF7,0.37716255838247736
HAUS6,0.3771112887195559
COX7B,0.3768985602250951
TXNL4A,0.37682006945143176
TFIP11,0.37535186593153447
BUB3,0.37404930577750695
SSU72,0.37347908623410747
POLE2,0.3733098406300931
HSCB,0.37286103514169194
SIRT7,0.372214331596752
TUFM,0.37220167218688255
NUP107,0.3702428511514898
PIAS4,0.3700567817856679
NOL8,0.369917880917406
CCDC84,0.3686116376322312
POLR1D,0.3680644946548204
THOC1,0.3676976045538282
GTPBP4,0.36683843484291756
MED31,0.36668664523456296
WDR82,0.3664110374422861
MRPL33,0.3646214678715968
NIP7,0.3646211576889832
UQCRB,0.36440938384209787
MRPL4,0.36424795520767617
RBMX,0.3627796947117655
WDR12,0.36202552873940186
AURKA,0.3615710688764421
TOP3A,0.3615264682567013
STAG2,0.3610870025513945
NUP88,0.36072662552306844
RPUSD4,0.36068412017581836
MRPL27,0.36066003760339815
EIF6,0.3604542980446388
WDR36,0.35954800840329865
BNIP1,0.3593197327033224
POLD2,0.35917739438746965
DYNC1H1,0.3584790622972286
TNPO3,0.35819169239765947
NOP58,0.3577731585765116
RRP15,0.35776135281307975
MRPS35,0.3573468795770481
TSEN54,0.3573194176076072
MED16,0.3570140054703307
URI1,0.35660129489287834
NEDD8,0.3559565873473185
UBA3,0.35569840758844784
YBX3,0.3550316850375093
SAP130,0.35409669863250737
ELL,0.3540350464429066
GNL3,0.35389886068930926
CYCS,0.35373358250971415
STX18,0.3535722596418456
WARS,0.3533266078410683
MCM7,0.3530593137385395
POLL,0.3529575104010359
RCCD1,0.3521680626534426
CTR9,0.3521355807527162
MRPL16,0.35170164863453646
UTP11,0.3507586733863985
TPX2,0.35067885496841184
METTL16,0.34981618275394444
ZNF574,0.3494746912708925
VPS18,0.3492387960656984
PSMD11,0.34848991808637625
NUP54,0.34837890957674733
TAF7,0.3478607779359068
AKIRIN2,0.34767160191032426
ATP6V1A,0.3474458378160866
PRMT5,0.34709560847789606
RARS2,0.34700645800101887
PPAN,0.3465254565565077
RTCB,0.3464717133018154
BRIX1,0.346229410442055
MCM3,0.3461217091236322
POLR2C,0.3458820489591739
TFDP1,0.3457488869186842
TBCB,0.34510403500627257
RBM28,0.3449847546275194
MYBBP1A,0.3444712705928178
NDUFB8,0.3444401676979413
OSGEP,0.3436505529249001
SUPT4H1,0.34335710853243406
NVL,0.34325988083461356
SMARCC1,0.34322878340557195
ATP6V1D,0.34301860160516884
FARS2,0.34274551910233336
MRPL3,0.3419023725484332
NDUFA8,0.3415900250126765
RPP30,0.3415326246660729
NUP160,0.34118712485917646
GTF2E1,0.34073760438301437
PEX1,0.34014790989045807
RAD51,0.3400933510664709
MRPS9,0.33942289217956334
EXOC3,0.33898022751543244
CPSF4,0.33860293554537163
FAM50A,0.33852869271825414
ARPC1B,0.33822251046336377
WDTC1,0.33817160584521266
MRPS11,0.33699702680436966
TADA2B,0.3365088707284404
POLR2E,0.33639652606054676
CCT5,0.3361670855805631
TPI1,0.33614341703751505
MRPL28,0.3359455179719167
BORA,0.3357528374677451
PSMC4,0.3346241515560125
RPL34,0.33440467780117566
SNRNP48,0.3343783969570761
UQCRFS1,0.3343273376585372
MRPL43,0.3340146161790969
PABPC1,0.3327999686838436
CARF,0.3319399817611485
MRPS18B,0.3319024462626202
MRPS21,0.33157113155109796
POLR3F,0.33081968597486555
ZWINT,0.33043663651498384
TSR1,0.3298910117730661
MRPL11,0.3297636575663649
RAN,0.32934412888759523
POLR2L,0.32929947007895877
LAMTOR4,0.32884423614754943
RPAIN,0.3288262748479748
MRPL50,0.32801720890420094
BMP2K,0.32735250041675623
MRPL51,0.3272883625370523
MTOR,0.3271719804551078
UBE2I,0.32693719302056573
PDAP1,0.3255035495902975
POLR2K,0.32546160840938787
METTL21A,0.32532581424846996
DAP3,0.32516497222381024
GRSF1,0.32513296370609385
C18orf21,0.32505249321871305
SPCS2,0.32502402780139195
RBBP4,0.3249727593647216
IGBP1,0.324893092406355
WDR7,0.3248010186652647
TMEM242,0.32456455340035106
GTF3C4,0.32424978665449355
ATP5F1A,0.3233095004593336
TRIAP1,0.3232524652695733
WDR46,0.32302513613462985
PPP4R2,0.3224095403782058
ATP6V1E1,0.32159034115985624
IMPA2,0.32154105871382443
TBL3,0.3197750745878867
NDUFA2,0.31952185982597336
RIOK1,0.3192986573923151
PSMB1,0.31926448507888516
ZC3H8,0.3191138446675713
NOL10,0.3183078701162442
SBDS,0.31811120451186337
MCEE,0.31767062987011685
TARDBP,0.317631389623131
HEATR1,0.31751975052630865
RRM1,0.3164305614057128
DYNLL1,0.316343664627725
WDR26,0.31632125438136316
IPO9,0.31590127426246983
MRPL54,0.3155417556517236
MALSU1,0.3152951520667632
HMBOX1,0.31470641169877056
RPL11,0.3146960370634204
ATIC,0.3141207640313066
COX15,0.31409774908831367
DNAJC19,0.3134093180740654
ZNF84,0.3133970713015892
NDUFAB1,0.3133087819144277
SPCS3,0.3109349324662704
NOL6,0.3109076166824834
HINFP,0.3105803655308571
LSM10,0.30990450943913794
SAE1,0.3098322533372444
EIF4A3,0.30963507048279665
EIF4G1,0.30951980180122185
RBM48,0.30948164845896686
HNRNPU,0.3089418332308059
HNRNPL,0.30867450529371676
ZNF787,0.3084133141394542
BTAF1,0.30833021057661186
CEP85,0.30808011619262005
PES1,0.30792809696400164
ROMO1,0.3078408218933596
KIN,0.3075539013005467
MRPL46,0.3074330273610286
UTP23,0.30734861045760853
