kd,J,is_secretory_kd,is_neg_ctrl,is_ribo_kd
BMP2K,0.025339275598526,False,False,False
BMS1,0.022847861051559448,False,False,False
BNIP1,0.017768656834959984,False,False,False
BOD1L1,0.02300887182354927,False,False,False
BORA,0.017802415415644646,False,False,False
BPTF,0.021463992074131966,False,False,False
BRCA1,0.030050242319703102,False,True,False
BRCA2,0.02666034922003746,False,False,False
BRD2,0.019851060584187508,False,False,False
BRD8,0.012562861666083336,False,False,False
BRF1,0.01757640764117241,False,False,False
BRF2,0.013540015555918217,False,False,False
BRIP1,0.020180799067020416,False,False,False
BRIX1,0.02066866308450699,False,False,False
BRK1,0.0033208802342414856,False,False,False
BTAF1,0.020852956920862198,False,False,False
BTF3,0.03383100777864456,False,False,False
BTF3L4,0.02003239095211029,False,False,False
BUB1,0.028782770037651062,False,False,False
BUB1B,0.026240207254886627,False,False,False
BUB3,0.020718999207019806,False,False,False
BUD13,0.025064457207918167,False,False,False
BUD31,0.02199413813650608,False,False,False
BYSL,0.02161918208003044,False,False,False
C12orf45,0.028046580031514168,False,False,False
C17orf58,0.02205284684896469,False,False,False
C18orf21,0.025514669716358185,False,False,False
C19orf25,0.02624657191336155,False,False,False
C19orf53,0.014230147935450077,False,False,False
C1D,0.02305109240114689,False,False,False
C1QBP,0.028291650116443634,False,False,False
C1orf131,0.026598582044243813,False,False,False
C5orf30,0.01996193453669548,False,False,False
C7orf26,0.017973527312278748,False,False,False
C7orf50,0.018014170229434967,False,False,False
C9orf16,0.025141149759292603,False,False,False
C9orf78,0.014441457577049732,False,False,False
CA5A,0.014961617067456245,False,False,False
CABIN1,0.01773953065276146,False,False,False
CACTIN,0.011972727254033089,False,False,False
CAD,0.01615901291370392,False,False,False
CADM4,0.016245203092694283,False,False,False
CALR,0.018429502844810486,False,False,False
CAMLG,0.017127910628914833,False,False,False
CAP1,0.02591012418270111,False,False,False
CAPZB,0.04936974123120308,False,False,False
CARF,0.01901073567569256,False,False,False
CARS,0.01686152070760727,False,False,False
CASC3,0.012985327281057835,False,False,False
CASP8AP2,0.01420559175312519,False,False,False
CAST,0.02079053968191147,False,False,False
CBLL1,0.011427664197981358,False,False,False
CBX1,0.019908834248781204,False,False,False
CCAR1,0.020242908969521523,False,False,False
